estimating the workload which takes just one milli-second...
end estimation
3	1	1
3	10	2
3	11	3
3	12	4
3	13	5
3	30	6
3	31	7
3	32	8
3	33	9
3	34	10
3	35	11
3	36	12
3	37	13
3	62	14
3	63	15
3	64	16
3	65	17
3	74	18
3	75	19
3	76	20
3	77	21
3	78	22
3	79	23
3	80	24
3	81	25
3	106	26
3	107	27
3	108	28
3	109	29
3	110	30
3	111	31
3	112	32
3	113	33
3	138	34
3	139	35
3	140	36
3	141	37
3	158	38
3	159	39
3	160	40
3	161	41
3	162	42
3	163	43
3	164	44
3	165	45
3	190	46
3	191	47
3	192	48
3	193	49
3	194	50
3	195	51
3	196	52
3	197	53
3	218	54
3	219	55
3	220	56
3	221	57
3	222	58
3	223	59
3	224	60
3	225	61
3	250	62
3	251	63
3	252	64
3	253	65
3	254	66
3	255	67
3	256	68
3	257	69
3	282	70
3	283	71
3	284	72
3	285	73
3	298	74
3	299	75
3	300	76
3	301	77
3	314	78
3	315	79
3	316	80
3	317	81
3	330	82
3	331	83
3	332	84
3	333	85
3	334	86
3	335	87
3	336	88
3	361	89
3	363	90
3	364	91
3	365	92
3	366	93
3	367	94
3	368	95
3	369	96
3	394	97
3	395	98
3	396	99
3	397	100
2	2	1
2	4	2
2	5	3
2	6	4
2	7	5
2	8	6
2	9	7
2	38	8
2	39	9
2	40	10
2	41	11
2	42	12
2	43	13
2	44	14
2	45	15
2	66	16
2	67	17
2	68	18
2	69	19
2	70	20
2	71	21
2	72	22
2	73	23
2	98	24
2	99	25
2	100	26
2	101	27
2	102	28
2	103	29
2	104	30
2	105	31
2	130	32
2	131	33
2	132	34
2	133	35
2	134	36
2	135	37
2	136	38
2	137	39
2	166	40
2	167	41
2	168	42
2	169	43
2	170	44
2	171	45
2	172	46
2	173	47
2	198	48
2	199	49
2	200	50
2	201	51
2	202	52
2	203	53
2	204	54
2	205	55
2	226	56
2	227	57
2	228	58
2	229	59
2	230	60
2	231	61
2	232	62
2	233	63
2	258	64
2	259	65
2	260	66
2	261	67
2	262	68
2	263	69
2	264	70
2	265	71
2	286	72
2	287	73
2	288	74
2	289	75
2	310	76
2	311	77
2	312	78
2	313	79
2	318	80
2	319	81
2	320	82
2	321	83
2	346	84
2	347	85
2	348	86
2	349	87
2	350	88
2	351	89
2	352	90
2	353	91
2	378	92
2	379	93
2	380	94
2	381	95
2	382	96
2	383	97
2	384	98
2	385	99
2	402	100
1	14	1
1	15	2
1	16	3
1	18	4
1	19	5
1	20	6
1	21	7
1	46	8
1	47	9
1	48	10
1	49	11
1	50	12
1	51	13
1	52	14
1	53	15
1	82	16
1	83	17
1	84	18
1	85	19
1	86	20
1	87	21
1	88	22
1	89	23
1	114	24
1	115	25
1	116	26
1	117	27
1	118	28
1	119	29
1	120	30
1	121	31
1	142	32
1	143	33
1	144	34
1	145	35
1	146	36
1	147	37
1	148	38
1	149	39
1	174	40
1	175	41
1	176	42
1	177	43
1	178	44
1	179	45
1	180	46
1	181	47
1	206	48
1	207	49
1	208	50
1	209	51
1	210	52
1	211	53
1	212	54
1	213	55
1	242	56
1	243	57
1	244	58
1	245	59
1	246	60
1	247	61
1	248	62
1	249	63
1	274	64
1	275	65
1	276	66
1	277	67
1	278	68
1	279	69
1	280	70
1	281	71
1	302	72
1	303	73
1	304	74
1	305	75
1	306	76
1	307	77
1	308	78
1	309	79
1	338	80
1	339	81
1	340	82
1	341	83
1	342	84
1	343	85
1	344	86
1	345	87
1	370	88
1	371	89
1	372	90
1	373	91
1	374	92
1	375	93
1	376	94
1	377	95
1	397	96
1	398	97
1	399	98
1	400	99
1	401	100
0	22	1
0	23	2
0	24	3
0	25	4
0	26	5
0	27	6
0	28	7
0	54	8
0	55	9
0	56	10
0	57	11
0	58	12
0	59	13
0	60	14
0	61	15
0	90	16
0	91	17
0	92	18
0	93	19
0	94	20
0	95	21
0	96	22
0	97	23
0	122	24
0	123	25
0	124	26
0	125	27
0	126	28
0	127	29
0	128	30
0	129	31
0	150	32
0	151	33
0	152	34
0	153	35
0	154	36
0	155	37
0	156	38
0	157	39
0	182	40
0	183	41
0	184	42
0	185	43
0	186	44
0	187	45
0	188	46
0	189	47
0	214	48
0	215	49
0	216	50
0	217	51
0	234	52
0	235	53
0	236	54
0	237	55
0	238	56
0	239	57
0	240	58
0	241	59
0	266	60
0	267	61
0	268	62
0	269	63
0	270	64
0	271	65
0	272	66
0	273	67
0	290	68
0	291	69
0	292	70
0	293	71
0	294	72
0	295	73
0	296	74
0	297	75
0	322	76
0	323	77
0	324	78
0	325	79
0	326	80
0	327	81
0	328	82
0	329	83
0	354	84
0	355	85
0	356	86
0	357	87
0	358	88
0	359	89
0	360	90
0	361	91
0	386	92
0	387	93
0	388	94
0	389	95
0	390	96
0	391	97
0	392	98
0	393	99
0	403	100
